Year,ANIMAL_TYPE,total_count,popularity,Top_Breeds,Breed_Count,top_breed_pct
2023,CAT,18239,1,DOMESTIC SHORTHAIR,13484,73.93
2023,CAT,18239,2,DOMESTIC MEDIUMHAIR,1827,10.02
2023,CAT,18239,3,DOMESTIC LONGHAIR,1177,6.45
2023,CAT,18239,4,SIAMESE,306,1.68
2023,CAT,18239,5,RAGDOLL,185,1.01
2023,CAT,18239,6,MAINE COON,162,0.89
2023,CAT,18239,7,BENGAL,153,0.84
2023,CAT,18239,8,PERSIAN,139,0.76
2023,CAT,18239,9,BRITISH SHORTHAIR,131,0.72
2023,CAT,18239,10,RUSSIAN BLUE,111,0.61
2024,CAT,20703,1,DOMESTIC SHORTHAIR,15341,74.10
2024,CAT,20703,2,DOMESTIC MEDIUMHAIR,1678,8.11
2024,CAT,20703,3,DOMESTIC LONGHAIR,1387,6.70
2024,CAT,20703,4,SIAMESE,328,1.58
2024,CAT,20703,5,BENGAL,242,1.17
2024,CAT,20703,6,RAGDOLL,224,1.08
2024,CAT,20703,7,MAINE COON,202,0.98
2024,CAT,20703,8,AMERICAN SHORTHAIR,176,0.85
2024,CAT,20703,9,BRITISH SHORTHAIR,169,0.82
2024,CAT,20703,10,PERSIAN,153,0.74
2025,CAT,18614,1,DOMESTIC SHORTHAIR,13721,73.71
2025,CAT,18614,2,DOMESTIC LONGHAIR,1410,7.57
2025,CAT,18614,3,DOMESTIC MEDIUMHAIR,1178,6.33
2025,CAT,18614,4,SIAMESE,306,1.64
2025,CAT,18614,5,BRITISH SHORTHAIR,224,1.20
2025,CAT,18614,6,AMERICAN SHORTHAIR,215,1.16
2025,CAT,18614,7,MAINE COON,212,1.14
2025,CAT,18614,8,RAGDOLL,212,1.14
2025,CAT,18614,9,BENGAL,189,1.02
2025,CAT,18614,10,PERSIAN,135,0.73
2026,CAT,395,1,DOMESTIC SHORTHAIR,270,68.35
2026,CAT,395,2,DOMESTIC LONGHAIR,28,7.09
2026,CAT,395,3,RAGDOLL,13,3.29
2026,CAT,395,4,BREED UNKNOWN,10,2.53
2026,CAT,395,5,DOMESTIC MEDIUMHAIR,10,2.53
2026,CAT,395,6,BOMBAY,9,2.28
2026,CAT,395,7,BRITISH SHORTHAIR,8,2.03
2026,CAT,395,8,MAINE COON,8,2.03
2026,CAT,395,9,RUSSIAN BLUE,8,2.03
2026,CAT,395,10,SIAMESE,5,1.27
2023,DOG,46424,1,LABRADOR RETRIEVER,4753,10.24
2023,DOG,46424,2,GOLDEN RETRIEVER,3680,7.93
2023,DOG,46424,3,GERMAN SHEPHERD DOG,2305,4.97
2023,DOG,46424,4,SHIHTZU,2014,4.34
2023,DOG,46424,5,POODLE MINIATURE,1865,4.02
2023,DOG,46424,6,COCKER SPANIEL,1692,3.64
2023,DOG,46424,7,CHIHUAHUA SHORTHAIR,1421,3.06
2023,DOG,46424,8,SIBERIAN HUSKY,1329,2.86
2023,DOG,46424,9,MALTESE,1246,2.68
2023,DOG,46424,10,YORKSHIRE TERRIER,1195,2.57
2024,DOG,50943,1,LABRADOR RETRIEVER,4962,9.74
2024,DOG,50943,2,GOLDEN RETRIEVER,3966,7.79
2024,DOG,50943,3,GERMAN SHEPHERD DOG,2429,4.77
2024,DOG,50943,4,SHIHTZU,2182,4.28
2024,DOG,50943,5,POODLE MINIATURE,1925,3.78
2024,DOG,50943,6,COCKER SPANIEL,1910,3.75
2024,DOG,50943,7,CHIHUAHUA SHORTHAIR,1558,3.06
2024,DOG,50943,8,MALTESE,1421,2.79
2024,DOG,50943,9,SIBERIAN HUSKY,1420,2.79
2024,DOG,50943,10,AUSTRALIAN SHEPHERD,1373,2.70
2025,DOG,44191,1,LABRADOR RETRIEVER,4242,9.60
2025,DOG,44191,2,GOLDEN RETRIEVER,3496,7.91
2025,DOG,44191,3,GERMAN SHEPHERD DOG,2186,4.95
2025,DOG,44191,4,COCKER SPANIEL,1731,3.92
2025,DOG,44191,5,SHIHTZU,1693,3.83
2025,DOG,44191,6,POODLE MINIATURE,1552,3.51
2025,DOG,44191,7,CHIHUAHUA SHORTHAIR,1390,3.15
2025,DOG,44191,8,SIBERIAN HUSKY,1196,2.71
2025,DOG,44191,9,AUSTRALIAN SHEPHERD,1189,2.69
2025,DOG,44191,10,UNKNOWN,1152,2.61
2026,DOG,656,1,LABRADOR RETRIEVER,59,8.99
2026,DOG,656,2,GOLDEN RETRIEVER,56,8.54
2026,DOG,656,3,UNKNOWN,43,6.55
2026,DOG,656,4,MALTESE,31,4.73
2026,DOG,656,5,AUSTRALIAN SHEPHERD,30,4.57
2026,DOG,656,6,GERMAN SHEPHERD DOG,27,4.12
2026,DOG,656,7,BORDER COLLIE,22,3.35
2026,DOG,656,8,AMERICAN BULLDOG,20,3.05
2026,DOG,656,9,SIBERIAN HUSKY,18,2.74
2026,DOG,656,10,COCKER SPANIEL,15,2.29
